station_id,lat,lng
SF-C26,37.79797399628653,-122.40591404696676
SF-C28-1,37.79994467152109,-122.39852031553403
SF-C28-2,37.79864100928796,-122.40087013305411
SF-D24,37.79643323538805,-122.41684904514295
SF-D27,37.79535030268192,-122.40470220402263
SF-D28,37.79728509980047,-122.39843774550924
SF-D29,37.796404261516955,-122.39458450702189
SF-E18,37.78958496385543,-122.44068515461856
SF-E20,37.79063014638941,-122.4325246234272
SF-E23,37.794136284311335,-122.42163957511839
SF-E27,37.79415097888889,-122.40288581555563
SF-E28,37.79502848284315,-122.39997539950994
SF-E28-2,37.79313414738289,-122.39864573415963
SF-E29-1,37.79537409037039,-122.39423257814877
SF-E29-2,37.794542882352935,-122.39486471758354
SF-E29-3,37.79218238309354,-122.3972523723025
SF-F15,37.78662029689993,-122.45339786955017
SF-F16,37.786626718666675,-122.45004860266675
SF-F19,37.78850517273856,-122.43538384518874
SF-F23,37.788207757142864,-122.42049160952376
SF-F26,37.78839763269353,-122.40843148053554
SF-F27,37.78895537552739,-122.40349191420508
SF-F28-1,37.791305153133855,-122.3989649074075
SF-F28-2,37.78992559896063,-122.40117313374896
SF-F29,37.79032423578217,-122.3938125806478
SF-F30-1,37.79141709722213,-122.39103612268542
SF-F30-2,37.78956741070714,-122.39043856464654
SF-F9,37.785106331920936,-122.47762584745749
SF-G10-1,37.78244018381149,-122.47196284879283
SF-G10-2,37.780366908888894,-122.47282123111113
SF-G11,37.78176966951307,-122.4676247785399
SF-G12,37.782344772675785,-122.46546587275579
SF-G13,37.78150647013725,-122.45878625215036
SF-G17,37.78398122172621,-122.44281817113092
SF-G18,37.78438406375499,-122.43940048995987
SF-G19,37.78376956173372,-122.43454434209924
SF-G20,37.78538433532345,-122.43175862636782
SF-G23,37.78550514509311,-122.4193567330798
SF-G24,37.78707655021778,-122.41665079591905
SF-G25,37.78728449350759,-122.41333736664059
SF-G26,37.785816133495125,-122.40883521197406
SF-G27,37.7862939200657,-122.4050619049619
SF-G28-1,37.78645758302371,-122.39857952841348
SF-G28-2,37.786599659836085,-122.39981298907111
SF-G29-1,37.787506380655834,-122.39832092033093
SF-G29-2,37.78714464856566,-122.3944634938523
SF-G29-3,37.787979996925095,-122.39561926199286
SF-G30-1,37.78795999331777,-122.39187785966932
SF-G30-2,37.787326983910845,-122.38811163737579
SF-G5,37.78171937301589,-122.49282906746038
SF-G6,37.77962243915344,-122.48793993121699
SF-G7,37.78194203724396,-122.48277552886411
SF-G8,37.780017328638515,-122.48042927699537
SF-G9,37.780753507365326,-122.47615142737013
SF-H0,37.77526658733628,-122.51120953566225
SF-H12,37.77954506811381,-122.46315432679025
SF-H13,37.77858086224585,-122.45864889813151
SF-H14,37.7809196862745,-122.45628397058823
SF-H15,37.78067348461538,-122.45022815128209
SF-H16,37.781146430246466,-122.44730676034627
SF-H17,37.78247517028051,-122.44209250343647
SF-H18,37.78241488301532,-122.43956973747726
SF-H19,37.782004701659666,-122.43566093506102
SF-H20,37.78339157496668,-122.43111324142022
SF-H25,37.784026266666714,-122.41219142571437
SF-H26,37.783867704240485,-122.40840022223243
SF-H26-2,37.78235192504344,-122.40740798403846
SF-H27-1,37.78482352249985,-122.4008659966305
SF-H28,37.783880139169575,-122.39884609708221
SF-H29,37.78531814347536,-122.39643365354954
SF-H30,37.78299489448871,-122.38794654810704
SF-I16,37.77913146211408,-122.44730703774182
SF-I19,37.77909373683129,-122.43695441090546
SF-I20,37.7805105170175,-122.4319364425167
SF-I21,37.77832544736835,-122.42644341228056
SF-I22,37.780901649870735,-122.4218461899224
SF-I23-1,37.78150766666656,-122.41843726260534
SF-I23-2,37.778734269503616,-122.41819229609915
SF-I24,37.778740569038156,-122.41590000711477
SF-I25,37.78110482235528,-122.41173238123709
SF-I26-,37.78025627286143,-122.4066466290557
SF-I27,37.78079184448226,-122.4026646417687
SF-I28,37.781161795312485,-122.3999552437496
SF-I29-2,37.78080598651401,-122.39493438625946
SF-I30,37.780512569634666,-122.39030956620985
SF-I30-2,37.78230734004044,-122.39152475810528
SF-J1,37.772928889576896,-122.50905727089801
SF-J10,37.77338888148442,-122.47127448290922
SF-J12,37.775119846738306,-122.46498940303863
SF-J13,37.77532893966812,-122.45809451432896
SF-J14,37.77761239914183,-122.45464310329439
SF-J15,37.776141375880364,-122.4531084371151
SF-J16,37.774819351918524,-122.44662584232641
SF-J17,37.777392150101065,-122.44193795080815
SF-J18,37.77595557934698,-122.43771296848946
SF-J19,37.77762589338728,-122.43321177413013
SF-J20,37.77712548161436,-122.42959694544092
SF-J21,37.776240317982484,-122.42621581396179
SF-J22-1,37.774120534359284,-122.423840716156
SF-J22-2,37.77787783014363,-122.42290774449752
SF-J23-1,37.77680420811821,-122.41742761093798
SF-J23-2,37.77476755924489,-122.41906629166692
SF-J24,37.77446594527186,-122.4094588953868
SF-J25,37.77658835405579,-122.41126258187636
SF-J26,37.77772844816792,-122.4063261089882
SF-J26-2,37.776559950861035,-122.40802709508063
SF-J27,37.775844446127934,-122.40268634680143
SF-J28-2,37.77795747262344,-122.3969484160637
SF-J29,37.77667280520406,-122.39532901476758
SF-J29-1,37.778671203288525,-122.39252091031415
SF-J29-3,37.77630393922644,-122.39448346224695
SF-J3,37.77550077635324,-122.49846730911696
SF-J5,37.77568337864079,-122.49407637216842
SF-K15-,37.771953886961555,-122.45370257177098
SF-K17,37.773619319663524,-122.44259774710847
SF-K17-2,37.77052458504266,-122.44235999487144
SF-K18,37.773108856268436,-122.43911952809759
SF-K19,37.77236879940353,-122.43585239821053
SF-K20,37.77187181280964,-122.43376294090633
SF-K21,37.773459139240536,-122.42721599814023
SF-K22-1,37.77383217911629,-122.42114777551961
SF-K22-2,37.7716763671411,-122.42230870699852
SF-K23,37.772169371951186,-122.41983365040645
SF-K24,37.77348227912915,-122.41600379459477
SF-K25,37.77364377309229,-122.41173490160605
SF-K26,37.77146113781752,-122.40578811211705
SF-K27,37.773352477099266,-122.40352479134872
SF-K27-2,37.772704204301064,-122.40358768387088
SF-K28,37.77521357779187,-122.39747690426702
SF-K28-3,37.773241453703704,-122.40002518518516
SF-K29-1,37.7759702176806,-122.39314604531103
SF-K30-2,37.77200427927456,-122.39003470483573
SF-L19,37.76921243702781,-122.43397025331662
SF-L20,37.76979790709627,-122.42915671335186
SF-L21,37.76924621822204,-122.4269598660002
SF-L22,37.7690745788419,-122.42226314041798
SF-L24,37.76995834056009,-122.41559060252989
SF-L25,37.770037227797005,-122.41179820761245
SF-L26,37.769257168011826,-122.40702876311535
SF-L27,37.771075439054705,-122.4027316417912
SF-L27-2,37.77125255356505,-122.4009018676349
SF-L28,37.77180928509579,-122.39840251119749
SF-L29,37.7723738787732,-122.3929449109261
SF-L30-1,37.770320659781675,-122.39121721225057
SF-L31-1,37.771509750930484,-122.38665282024398
SF-M10,37.76399151345739,-122.47065551281372
SF-M11,37.764215864620915,-122.46738788086647
SF-M12,37.7635212360003,-122.46409991410795
SF-M13,37.76579640081468,-122.45758892282772
SF-M15,37.76593774309392,-122.44925288305697
SF-M20,37.766250016266746,-122.43109765146673
SF-M21,37.76610684928733,-122.4266480332656
SF-M22-1,37.76824277459612,-122.42036633994127
SF-M22-2,37.765367762854474,-122.42192120656011
SF-M24,37.76707348160497,-122.41545099506203
SF-M25,37.76710032954188,-122.41066219668231
SF-M26,37.767087608162335,-122.40738000236634
SF-M26-2,37.76856780670731,-122.40423785204186
SF-M27,37.76687328571428,-122.39953592857144
SF-M28,37.76660196852431,-122.39819395459244
SF-M30,37.7670309487828,-122.390874200105
SF-N20-1,37.764291027559075,-122.43189837808416
SF-N20-2,37.76327452678575,-122.43071376091277
SF-N21,37.76304420330242,-122.42656880134145
SF-N22-1A,37.76469995987654,-122.41993820370372
SF-N22-1B,37.76485388133339,-122.42012936400009
SF-N22-2,37.763324230186456,-122.42203743298363
SF-N23,37.76371991401271,-122.4153995707006
SF-N24-2,37.763744593643416,-122.41302690527115
SF-N25,37.76454258637473,-122.41035894038926
SF-N26,37.76338562468765,-122.4074077683289
SF-N27,37.76440101076771,-122.40256719382009
SF-N28,37.76497537865507,-122.39902195662778
SF-N29,37.764792920068,-122.39479564625846
SF-O12,37.7587365860215,-122.4637684059139
SF-O18,37.75921000628935,-122.43679688574403
SF-O19,37.76107371861353,-122.43251084036089
SF-O21,37.761406315546864,-122.4265239971019
SF-O22,37.75918079768269,-122.42140302347006
SF-O23,37.760282083735895,-122.41902677133669
SF-O24,37.76062860892856,-122.41482613124995
SF-O25-1,37.76043708571424,-122.41077823934847
SF-O25-2,37.75917503022457,-122.41003246632128
SF-O30,37.76162893431235,-122.3907656608478
SF-O30-2,37.76032685238095,-122.38745886190479
SF-P21,37.75823703129212,-122.42611747932317
SF-P22,37.756697597646976,-122.42110590539228
SF-P24,37.75886599389176,-122.41255837434545
SF-P26,37.75682403970456,-122.40596970775619
SF-P30,37.75770898215654,-122.39190323113387
SF-Q21-1,37.755016031363596,-122.42582110151506
SF-Q21-2,37.75179842690587,-122.42656585515678
SF-Q22-1,37.75515283116136,-122.4209929078377
SF-Q22-2,37.75243749152702,-122.42065846871454
SF-Q23-3,37.752131487074756,-122.41988270934468
SF-Q26,37.75324284848488,-122.40549626634751
SF-Q30,37.755395706353504,-122.38872845218683
SF-R19,37.75053077096776,-122.43383882946227
SF-R20,37.75091258246914,-122.42757211703699
SF-R24,37.750961299897064,-122.41208367438254
SF-R26,37.7518222547709,-122.4053450336939
SF-S21,37.7478298454902,-122.42504582627461
SF-S22-1,37.74778888691979,-122.42019613037971
SF-S22-2,37.745785294056894,-122.42215963125503
SF-S24,37.74729821660555,-122.4114045605618
SF-S29,37.750429814931465,-122.39045749193062
SF-S30,37.750115216312054,-122.38650015957452
SF-T20,37.74370319929828,-122.42687309052626
SF-T21,37.74233604455783,-122.42305883163264
SF-T22,37.74403513954547,-122.42154879106064
SF-U21,37.739830078247444,-122.42544772016635
SF-U30,37.74228436419753,-122.38688539506175
SF-V28,37.7370380891473,-122.39448726744182
SF-V29,37.73895569013419,-122.38956180412715
SF-V30,37.739827082219065,-122.38566439076457
SF-V31,37.74005182246378,-122.38343824637677
SF-V32,37.740410335455515,-122.3766685752816
SF-W14,37.73169760343285,-122.45112081113557
SF-W19,37.732873442619486,-122.43415416492599
SF-W19-2,37.73494112403101,-122.42981408139536
SF-W29,37.73628652714912,-122.38990572053584
SF-W8,37.7310865,-122.47623675694443
SF-X14,37.72829706785464,-122.45040095705836
SF-X19,37.73015777258991,-122.43290044146984
SF-X29,37.73310641276265,-122.39097152309715
SF-X30,37.7317266935217,-122.3900556564331
SF-Y14,37.72598208068022,-122.45246079022941
SF-Y25,37.72713994566899,-122.4066641851972
SF-Y27,37.73009777777778,-122.39880161111112
SF-Y29,37.72926329551909,-122.39302288473395
SF-Y30,37.72938347830863,-122.38655519493611
SF-Z16,37.72239653261201,-122.44378018880874
SF-Z28,37.72539995781174,-122.39400760961249
SF-Z6,37.722017765432085,-122.48275428395064
SF-Z7,37.72094770833335,-122.47878607638889
SJ-C9,37.36792134736657,-121.91871385469283
SJ-D9,37.365279729051274,-121.91670002409279
SJ-E10,37.36206672508639,-121.90895365157786
SJ-E9,37.36405102899692,-121.91176850775544
SJ-F10,37.36096541108597,-121.90698405743109
SJ-G10,37.355043180015336,-121.9044206471566
SJ-G15,37.37117755001605,-121.8812758967174
SJ-H10,37.35090877777777,-121.90205216666666
SJ-H11,37.35668072113913,-121.89584131562717
SJ-H17,37.36565563171199,-121.86792307077867
SJ-H9,37.35249891666666,-121.90555915277777
SJ-I10,37.35084921901988,-121.8958595963796
SJ-I11,37.353069641771604,-121.89195013352351
SJ-I14,37.36006705585237,-121.87881878644272
SJ-I5,37.33803715810995,-121.91943182628249
SJ-I9,37.34759257443888,-121.89966201782228
SJ-J10,37.34873585113715,-121.89478409948015
SJ-J11,37.34754654947545,-121.89046663422478
SJ-J12-1,37.349489094962166,-121.88767979558787
SJ-J12-2,37.35293357376641,-121.88594810180768
SJ-J6,37.33675764564162,-121.90912637232091
SJ-J8,37.34126969876542,-121.90326826604935
SJ-J9,37.34493239333334,-121.89690619999999
SJ-K10,37.34116805674789,-121.89290881991097
SJ-K11,37.342984781300814,-121.88889741626016
SJ-K5,37.3322779498471,-121.91235761467887
SJ-K6,37.333727009725905,-121.90867314303262
SJ-K9,37.34273116825397,-121.89565230000004
SJ-L10,37.33930383333334,-121.88995626666667
SJ-L11,37.34308064297817,-121.88445525296794
SJ-L12,37.34269857646404,-121.87733758265031
SJ-L13,37.34405064724777,-121.87447331834157
SJ-L7-1,37.33284917592593,-121.90018945370372
SJ-L7-2,37.33193223211382,-121.90500084308938
SJ-L9,37.336858025,-121.8941348816667
SJ-L9-2,37.338620718986384,-121.89575570102565
SJ-M10-1,37.33740166666668,-121.88700839189184
SJ-M10-2,37.33590927027026,-121.88561062162158
SJ-M10-3,37.33382540666666,-121.88700190666664
SJ-M10-4,37.33613817787465,-121.88938664594998
SJ-M11-1,37.339097212280706,-121.88405169999997
SJ-M11-2,37.337098402163235,-121.8832389191281
SJ-M11-3,37.33848076944444,-121.88088780555557
SJ-M14,37.34580968478793,-121.8707400935496
SJ-M4,37.32335135145811,-121.9134634119132
SJ-M5,37.326029114357226,-121.91240427602753
SJ-M6,37.329076923663614,-121.90473291302051
SJ-M6-2,37.32628561961726,-121.90499168383758
SJ-M7-1,37.32973207692308,-121.9017114230769
SJ-M8-1,37.33144048039215,-121.89320525490196
SJ-M8-2,37.33017625151515,-121.89764023939392
SJ-M9-2,37.33399533333334,-121.89490186111111
SJ-N10-1,37.332808503101916,-121.88387435878163
SJ-N10-2,37.33110036205281,-121.88686932384817
SJ-N10-3,37.33201684870072,-121.88167629536206
SJ-N11,37.333930328828814,-121.8773576576577
SJ-N12-1,37.3364483074074,-121.8766708111111
SJ-N14,37.34012269132795,-121.86381157342191
SJ-N14-2,37.338573069573,-121.86657719661711
SJ-N5,37.323389977955415,-121.90597829081385
SJ-N5-2,37.320992778828256,-121.90818506151652
SJ-N6,37.321191046556734,-121.9031668973671
SJ-N7,37.3242508858787,-121.8996272883785
SJ-N9,37.33078632222221,-121.88889436296292
SJ-O10,37.327486827380945,-121.88469235714287
SJ-O12,37.332880207692305,-121.87570809230769
SJ-O4,37.316747773809524,-121.90990305952381
SJ-O9,37.32678442424242,-121.88921251515153
SJ-P10,37.32588903873875,-121.87710974024024
SJ-P10-2,37.324438083333334,-121.880724875
SJ-P6,37.315147364154,-121.89781389678892
SJ-P7,37.319774768417,-121.89300760208558
SJ-P8,37.32304557733333,-121.88799821466665
SJ-P9,37.32212473246326,-121.88109028757368
SJ-Q10,37.3209039499394,-121.8763033468877
SJ-Q11,37.32358173055555,-121.87428633888887
SJ-Q4,37.309018449955,-121.89998864576074
SJ-Q5,37.311257674029335,-121.8963074416186
SJ-Q8,37.31722536666666,-121.88493391666667
SJ-Q9,37.318453600000005,-121.88316234166666
SJ-R11,37.32031582108647,-121.87009871006012
SF Depot,37.75484240981915,-122.38974955200449
